,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка,category
42,"Набор книг 250 наклеек Животные, развитие ребенка",14204542,87,7117,925,Буква-Ленд,20890,1643,5,https://www.wildberries.ru/catalog/14204542/detail.aspx?targetUrl=BP,Детское творчество и досуг
43,"Новогодний набор из 12 книг, подарок",97920540,64,2500,900,Shelsy,567688,145,5,https://www.wildberries.ru/catalog/97920540/detail.aspx?targetUrl=BP,Детское творчество и досуг
44,Большая пластилиновая книга увлечений и развлечений (кн. 1),19428333,31,1035,714,Эксмо,4481,209,5,https://www.wildberries.ru/catalog/19428333/detail.aspx?targetUrl=BP,Детское творчество и досуг
45,Интервью book интервью каждый год интервью бук,15991078,34,3199,2111,MILKYCHEEKS,113014,167,5,https://www.wildberries.ru/catalog/15991078/detail.aspx?targetUrl=BP,Детское творчество и досуг
46,Новогодний набор адвент календарь 2023,103851298,83,5000,850,Буква-Ленд,20890,198,5,https://www.wildberries.ru/catalog/103851298/detail.aspx?targetUrl=BP,Детское творчество и досуг
47,Детские книжки для малышей запуск и развитие речи от года,93354525,71,2125,616,Буква-Ленд,20890,34,5,https://www.wildberries.ru/catalog/93354525/detail.aspx?targetUrl=BP,Детское творчество и досуг
48,Давай вырезать! KUMON,5720246,20,808,646,"Издательство Манн, Иванов и Фербер",4508,126,5,https://www.wildberries.ru/catalog/5720246/detail.aspx?targetUrl=BP,Детское творчество и досуг
49,Открой тайны транспорта,2948947,70,2983,894,Издательство Робинс,8383,267,5,https://www.wildberries.ru/catalog/2948947/detail.aspx?targetUrl=BP,Детское творчество и досуг
50,Большая детская энциклопедия динозавров. Книги для детей,3938599,65,4572,1600,Владис,5662,188,5,https://www.wildberries.ru/catalog/3938599/detail.aspx?targetUrl=BP,Детское творчество и досуг
51,Большая книга японских узоров. 260 необычных схем для,6381797,25,2203,1652,"Издательство Манн, Иванов и Фербер",4508,577,5,https://www.wildberries.ru/catalog/6381797/detail.aspx?targetUrl=BP,Детское творчество и досуг
52,Мини - книжки для малышки,109106201,70,2917,875,Издательство Робинс,8383,15,5,https://www.wildberries.ru/catalog/109106201/detail.aspx?targetUrl=BP,Детское творчество и досуг
53,Книга,116453900,29,1929,1369,Эксмо,4481,34,5,https://www.wildberries.ru/catalog/116453900/detail.aspx?targetUrl=BP,Детское творчество и досуг
54,Секреты аэропорта. От 3-х лет. Книга с окошками,2948930,70,3030,909,Издательство Робинс,8383,184,5,https://www.wildberries.ru/catalog/2948930/detail.aspx?targetUrl=BP,Детское творчество и досуг
55,Развитие памяти Обучающие карточки-тренажер для детей,11662497,90,6900,690,BRAINY TRAINY,44153,68,5,https://www.wildberries.ru/catalog/11662497/detail.aspx?targetUrl=BP,Детское творчество и досуг
56,Интерактивная развивающая книга для детей - Животные,63103644,50,1374,687,BertToys,38694,389,4,https://www.wildberries.ru/catalog/63103644/detail.aspx?targetUrl=BP,Детское творчество и досуг
57,Интервью book интервью каждый год интервью бук,15991077,34,3199,2111,MILKYCHEEKS,113014,167,5,https://www.wildberries.ru/catalog/15991077/detail.aspx?targetUrl=BP,Детское творчество и досуг
58,Андерсен Х.-К. Большая книга сказок (Великие сказочники мира…,15732536,15,1176,999,РОСМЭН,2613,62,5,https://www.wildberries.ru/catalog/15732536/detail.aspx?targetUrl=BP,Детское творчество и досуг
